Library Name,Street Address,City,Zip Code
GARRETT PUBLIC LIBRARY,107 WEST HOUSTON,GARRETT,46738
ECKHART PUBLIC LIBRARY,603 SOUTH JACKSON STREET,AUBURN,46706
WATERLOO-GRANT TOWNSHIP PUBLIC LIBRARY,300 SOUTH WAYNE STREET,WATERLOO,46793
BUTLER PUBLIC LIBRARY,340 SOUTH BROADWAY,BUTLER,46721
ANDREWS-DALLAS TOWNSHIP PUBLIC LIBRARY,30 EAST MADISON STREET,ANDREWS,46702
ROANOKE PUBLIC LIBRARY,314 NORTH MAIN STREET,ROANOKE,46783
HUNTINGTON CITY-TOWNSHIP PUBLIC LIBRARY,255 WEST PARK DRIVE,HUNTINGTON,46750
WARREN PUBLIC LIBRARY,123 EAST THIRD STREET,WARREN,46792
LA GRANGE COUNTY PUBLIC LIBRARY,203 WEST SPRING STREET,LAGRANGE,46761
LIGONIER PUBLIC LIBRARY,300 SOUTH MAIN STREET,LIGONIER,46767
NOBLE COUNTY PUBLIC LIBRARY,813 EAST MAIN STREET,ALBION,46701
KENDALLVILLE PUBLIC LIBRARY,221 SOUTH PARK AVENUE,KENDALLVILLE,46755
CARNEGIE PUBLIC LIBRARY OF STEUBEN COUNTY,322 SOUTH WAYNE STREET,ANGOLA,46703
FREMONT PUBLIC LIBRARY,1004 WEST TOLEDO STREET,FREMONT,46737
WELLS COUNTY PUBLIC LIBRARY,200 WEST WASHINGTON STREET,BLUFFTON,46714
SOUTH WHITLEY COMMUNITY PUBLIC LIBRARY,201 EAST FRONT STREET,SOUTH WHITLEY,46787
PEABODY PUBLIC LIBRARY,1160 EAST HIGHWAY 205,COLUMBIA CITY,46725
CHURUBUSCO PUBLIC LIBRARY,116 NORTH MULBERRY STREET,CHURUBUSCO,46723
YORK TOWNSHIP PUBLIC LIBRARY,8908 WEST 845 NORTH,EARL PARK,47942
EARL PARK PUBLIC LIBRARY,102 EAST FIFTH STREET,EARL PARK,47942
BOSWELL-GRANT TOWNSHIP PUBLIC LIBRARY,101 EAST MAIN STREET,BOSWELL,47921
BENTON COUNTY PUBLIC LIBRARY,102 NORTH VAN BUREN AVENUE,FOWLER,47944
OXFORD PUBLIC LIBRARY,201 EAST SMITH STREET,OXFORD,47971
OTTERBEIN PUBLIC LIBRARY,23 EAST FIRST STREET,OTTERBEIN,47970
DELPHI PUBLIC LIBRARY,222 EAST MAIN STREET,DELPHI,46923
CAMDEN-JACKSON TOWNSHIP PUBLIC LIBRARY,183 WEST MAIN,CAMDEN,46917
FLORA-MONROE TOWNSHIP PUBLIC LIBRARY,109 NORTH CENTER STREET,FLORA,46929
COLFAX-PERRY TOWNSHIP PUBLIC LIBRARY,207 SOUTH CLARK STREET,COLFAX,46035
FRANKFORT COMMUNITY PUBLIC LIBRARY-CLINTON COUNTY CONTRACTUA,208 WEST CLINTON STREET,FRANKFORT,46041
KIRKLIN PUBLIC LIBRARY,115 NORTH MAIN STREET,KIRKLIN,46050
ATTICA PUBLIC LIBRARY,305 SOUTH PERRY STREET,ATTICA,47918
COVINGTON-VEEDERSBURG PUBLIC LIBRARY,622 5TH STREET,COVINGTON,47932
KINGMAN-MILLCREEK PUBLIC LIBRARY,123 EAST STATE STREET,KINGMAN,47952
CRAWFORDSVILLE DISTRICT PUBLIC LIBRARY,205 SOUTH WASHINGTON STREET,CRAWFORSDSVILLE,47933
WAVELAND-BROWN TOWNSHIP PUBLIC LIBRARY,115 EAST GREEN STREET,WAVELAND,47989
LINDEN CARNEGIE PUBLIC LIBRARY,102 SOUTH MAIN STREET,LINDEN,47955
DARLINGTON PUBLIC LIBRARY,203 WEST MAIN STREET,DARLINGTON,47940
LADOGA-CLARK TOWNSHIP PUBLIC LIBRARY,128 EAST MAIN STREET,LADOGA,47954
WEST LAFAYETTE PUBLIC LIBRARY,208 WEST COLUMBIA STREET,WEST LAFAYETTE,47906
TIPPECANOE COUNTY PUBLIC LIBRARY,627 SOUTH STREET,LAFAYETTE,47901
WEST LEBANON-PIKE TOWNSHIP PUBLIC LIBRARY,200 NORTH HIGH STREET,WEST LEBANON,47991
WILLIAMSPORT-WASHINGTON TOWNSHIP PUBLIC LIBRARY,28 EAST SECOND STREET,WILLIAMSPORT,47993
WOLCOTT COMMUNITY PUBLIC LIBRARY,101 EAST NORTH STREET,WOLCOTT,47995
BROOKSTON-PRAIRIE TOWNSHIP PUBLIC LIBRARY,111 WEST 2ND STREET,BROOKSTON,47923
MONON TOWN & TOWNSHIP PUBLIC LIBRARY,427 NORTH MARKET STREET,MONON,47959
MONTICELLO-UNION TOWNSHIP PUBLIC LIBRARY,321 WEST BROADWAY STREET,MONTICELLO,47960
ROYAL CENTER-BOONE TOWNSHIP PUBLIC LIBRARY,203 NORTH CHICAGO STREET,ROYAL CENTER,46978
LOGANSPORT-CASS COUNTY PUBLIC LIBRARY,616 EAST BROADWAY,LOGANSPORT,46947
WALTON & TIPTON TOWNSHIP PUBLIC LIBRARY,110 NORTH MAIN STREET,WALTON,46994
KEWANNA-UNION TOWNSHIP PUBLIC LIBRARY,210 EAST MAIN STREET,KEWANNA,46939
FULTON COUNTY PUBLIC LIBRARY,320 WEST 7TH STREET,ROCHESTER,46975
AKRON CARNEGIE PUBLIC LIBRARY,205 EAST ROCHESTER STREET,AKRON,46910
KOKOMO-HOWARD COUNTY PUBLIC LIBRARY,220 NORTH UNION STREET,KOKOMO,46901
GREENTOWN & EASTERN HOWARD SCHOOL PUBLIC LIBRARY,421 SOUTH HARRISON STREET,GREENTOWN,46936
PERU PUBLIC LIBRARY,102 EAST MAIN STREET,PERU,46970
CONVERSE-JACKSON TOWNSHIP PUBLIC LIBRARY,108 SOUTH JEFFERSON STREET,CONVERSE,46919
TIPTON COUNTY PUBLIC LIBRARY,127 EAST MADISON STREET,TIPTON,46072
ROANN-PAW PAW TOWNSHIP PUBLIC LIBRARY,240 SOUTH CHIPPEWA ROAD,ROANN,46974
NORTH MANCHESTER PUBLIC LIBRARY,405 NORTH MARKET STREET,NORTH MANCHESTER,46962
WABASH CARNEGIE PUBLIC LIBRARY,188 WEST HILL STREET,WABASH,46992
HARTFORD CITY PUBLIC LIBRARY,314 NORTH HIGH STREET,HARTFORD CITY,47348
MONTPELIER-HARRISON TOWNSHIP PUBLIC LIBRARY,301 SOUTH MAIN STREET,MONTPELIER,47359
MUNCIE-CENTER TOWNSHIP PUBLIC LIBRARY,2005 SOUTH HIGH STREET,MUNCIE,47302
FAYETTE COUNTY PUBLIC LIBRARY,828 GRAND AVENUE,CONNERSVILLE,47331
FRANKLIN COUNTY PUBLIC LIBRARY DISTRICT,919 MAIN STREET,BROOKVILLE,47012
SWAYZEE PUBLIC LIBRARY,301 SOUTH WASHINGTON STREET,SWAYZEE,46986
MARION PUBLIC LIBRARY,600 SOUTH WASHINGTON STREET,MARION,46953
GAS CITY-MILL TOWNSHIP PUBLIC LIBRARY,135 EAST MAIN STREET,GAS CITY,46933
JONESBORO PUBLIC LIBRARY,124 EAST 4TH STREET,JONESBORO,46938
FAIRMOUNT PUBLIC LIBRARY,217 SOUTH MAIN STREET,FAIRMOUNT,46928
VAN BUREN PUBLIC LIBRARY,115 SOUTH FIRST STREET,VAN BUREN,46991
BARTON REES POGUE MEMORIAL PUBLIC LIBRARY,29 WEST WASHINGTON STREET,UPLAND,46989
MATTHEWS PUBLIC LIBRARY,816 WEST EIGHTH STREET,MATTHEWS,46957
MIDDLETOWN FALL CREEK TOWNSHIP PUBLIC LIBRARY,780 HIGH STREET,MIDDLETOWN,47356
NEW CASTLE-HENRY COUNTY PUBLIC LIBRARY,376 SOUTH 15TH STREET,NEW CASTLE,47362
SPICELAND TOWN-TOWNSHIP PUBLIC LIBRARY,106 WEST MAIN STREET,SPICELAND,47385
KNIGHTSTOWN PUBLIC LIBRARY,5 EAST MAIN STREET,KNIGHTSTOWN,46148
DUNKIRK PUBLIC LIBRARY,127 WEST WASHINGTON STREET,DUNKIRK,47336
PENN TOWNSHIP PUBLIC LIBRARY,195 NORTH UNION,PENNVILLE,47369
JAY COUNTY PUBLIC LIBRARY,315 NORTH SHIP STREET,PORTLAND,47371
NORTH MADISON COUNTY PUBLIC LIBRARY SYSTEM,1600 MAIN STREET,ELWOOD,46036
ALEXANDRIA-MONROE PUBLIC LIBRARY,117 EAST CHURCH STREET,ALEXANDRIA,46001
ANDERSON PUBLIC LIBRARY,111 EAST 12TH STREET,ANDERSON,46016
PENDLETON COMMUNITY PUBLIC LIBRARY,595 EAST WATER STREET,PENDLETON,46064
FARMLAND PUBLIC LIBRARY,116 SOUTH MAIN STREET,FARMLAND,47340
WINCHESTER COMMUNITY PUBLIC LIBRARY,125 NORTH EAST STREET,WINCHESTER,47394
WASHINGTON TOWNSHIP PUBLIC LIBRARY,107 NORTH MAIN STREET,LYNN,47355
RIDGEVILLE PUBLIC LIBRARY,308 NORTH WALNUT STREET,RIDGEVILLE,47380
UNION CITY PUBLIC LIBRARY,408 NORTH COLUMBIA STREET,UNION CITY,47390
HENRY HENLEY PUBLIC LIBRARY,102 NORTH MAIN STREET,CARTHAGE,46115
RUSHVILLE PUBLIC LIBRARY,130 WEST 3RD STREET,RUSHVILLE,46173
UNION COUNTY PUBLIC LIBRARY,2 EAST SEMINARY STREET,LIBERTY,47353
HAGERSTOWN-JEFFERSON TOWNSHIP PUBLIC LIBRARY,10 WEST COLLEGE STREET,HAGERSTOWN,47346
DUBLIN PUBLIC LIBRARY,2249 EAST CUMBERLAND STREET,DUBLIN,47335
CAMBRIDGE CITY PUBLIC LIBRARY,600 WEST MAIN STREET,CAMBRIDGE CITY,47327
MORRISSON-REEVES LIBRARY,80 NORTH 6TH STREET,RICHMOND,47374
CENTERVILLE-CENTER TOWNSHIP PUBLIC LIBRARY,126 EAST MAIN STREET,CENTERVILLE,47330
BRAZIL PUBLIC LIBRARY,204 NORTH WALNUT STREET,BRAZIL,47834
JASONVILLE PUBLIC LIBRARY,611 WEST MAIN STREET,JASONVILLE,47438
LINTON PUBLIC LIBRARY,95 SE 1ST STREET,LINTON,47441
WORTHINGTON JEFFERSON TOWNSHIP PUBLIC LIBRARY,26 NORTH COMMERCIAL STREET,WORTHINGTON,47471
BLOOMFIELD-EASTERN GREENE COUNTY PUBLIC LIBRARY,125 SOUTH FRANKLIN STREET,BLOOMFIELD,47424
BEDFORD PUBLIC LIBRARY,1323 K STREET,BEDFORD,47421
MITCHELL COMMUNITY PUBLIC LIBRARY,804 MAIN STREET,MITCHELL,47446
MONROE COUNTY PUBLIC LIBRARY,303 EAST KIRKWOOD AVENUE,BLOOMINGTON,47408
OWEN COUNTY PUBLIC LIBRARY,10 SOUTH MONTGOMERY STREET,SPENCER,47460
MONTEZUMA PUBLIC LIBRARY,270 CRAWFORD STREET,MONTEZUMA,47862
ROCKVILLE PUBLIC LIBRARY,106 NORTH MARKET STREET,ROCKVILLE,47872
PUTNAM COUNTY PUBLIC LIBRARY,103 EAST POPLAR STREET,GREENCASTLE,46135
ROACHDALE-FRANKLIN TOWNSHIP PUBLIC LIBRARY,100 EAST WASHINGTON STREET,ROACHDALE,46172
SULLIVAN COUNTY PUBLIC LIBRARY,100 SOUTH CROWDER STREET,SULLIVAN,47882
VERMILLION COUNTY PUBLIC LIBRARY,385 EAST MARKET STREET,NEWPORT,47966
CLINTON PUBLIC LIBRARY,313 SOUTH 4TH STREET,CLINTON,47842
VIGO COUNTY PUBLIC LIBRARY,ONE LIBRARY SQUARE,TERRE HAUTE,47807
THORNTOWN PUBLIC LIBRARY,124 NORTH MARKET STREET,THORNTOWN,46071
LEBANON PUBLIC LIBRARY,104 EAST WASHINGTON STREET,LEBANON,46052
SHERIDAN PUBLIC LIBRARY,103 WEST FIRST STREET,SHERIDAN,46069
WESTFIELD WASHINGTON PUBLIC LIBRARY,333 WEST HOOVER STREET,WESTFIELD,46074
CARMEL CLAY PUBLIC LIBRARY,55 4TH AVENUE SE,CARMEL,46032
HAMILTON NORTH PUBLIC LIBRARY,209 WEST BRINTON STREET,CICERO,46034
HAMILTON EAST PUBLIC LIBRARY,ONE LIBRARY PLAZA,NOBLESVILLE,46060
FORTVILLE-VERNON TOWNSHIP PUBLIC LIBRARY,625 EAST BROADWAY,FORTVILLE,46040
HANCOCK COUNTY PUBLIC LIBRARY,900 WEST MCKENZIE ROAD,GREENFIELD,46140
COATESVILLE-CLAY TOWNSHIP PUBLIC LIBRARY,4928 MILTON STREET,COATESVILLE,46121
BROWNSBURG PUBLIC LIBRARY,450 SOUTH JEFFERSON STREET,BROWNSBURG,46112
DANVILLE-CENTER TOWNSHIP PUBLIC LIBRARY,101 SOUTH INDIANA STREET,DANVILLE,46122
CLAYTON-LIBERTY TOWNSHIP PUBLIC LIBRARY,5199 IOWA STREET,CLAYTON,46118
AVON-WASHINGTON TOWNSHIP PUBLIC LIBRARY,498 NORTH STATE ROAD 267,AVON,46123
PLAINFIELD-GUILFORD TOWNSHIP PUBLIC LIBRARY,1120 STAFFORD ROAD,PLAINFIELD,46168
GREENWOOD PUBLIC LIBRARY,310 SOUTH MERIDIAN,GREENWOOD,46143
JOHNSON COUNTY PUBLIC LIBRARY,49 EAST MONROE STREET,FRANKLIN,46131
EDINBURGH WRIGHT-HAGEMAN PUBLIC LIBRARY,119 WEST MAIN CROSS STREET,EDINBURGH,46124
SPEEDWAY PUBLIC LIBRARY,5633 WEST 25TH STREET,SPEEDWAY,46224
INDIANAPOLIS-MARION COUNTY PUBLIC LIBRARY,2450 NORTH MERIDIAN STREET,INDIANAPOLIS,46208
BEECH GROVE PUBLIC LIBRARY,1102 MAIN STREET,BEECH GROVE,46107
MORGAN COUNTY PUBLIC LIBRARY,110 SOUTH JEFFERSON STREET,MARTINSVILLE,46151
MOORESVILLE PUBLIC LIBRARY,220 WEST HARRISON STREET,MOORESVILLE,46158
SHELBY COUNTY PUBLIC LIBRARY,57 WEST BROADWAY,SHELBYVILLE,46176
BARTHOLOMEW COUNTY PUBLIC LIBRARY,536 FIFTH STREET,COLUMBUS,47201
BROWN COUNTY PUBLIC LIBRARY,205 LOCUST LANE,NASHVILLE,47448
CHARLESTOWN-CLARK COUNTY PUBLIC LIBRARY,51 CLARK ROAD,CHARLESTOWN,47111
JEFFERSONVILLE TOWNSHIP PUBLIC LIBRARY,211 EAST COURT AVENUE,JEFFERSONVILLE,47130
CRAWFORD COUNTY PUBLIC LIBRARY,203 INDIANA AVENUE,ENGLISH,47118
LAWRENCEBURG PUBLIC LIBRARY DISTRICT,150 MARY STREET,LAWRENCEBURG,47025
AURORA PUBLIC LIBRARY DISTRICT,414 2ND STREET,AURORA,47001
NEW ALBANY-FLOYD COUNTY PUBLIC LIBRARY,180 WEST SPRING STREET,NEW ALBANY,47150
HARRISON COUNTY PUBLIC LIBRARY,105 NORTH CAPITOL AVENUE,CORYDON,47112
BROWNSTOWN PUBLIC LIBRARY,120 EAST SPRING STREET,BROWNSTOWN,47220
JACKSON COUNTY PUBLIC LIBRARY,303 WEST SECOND STREET,SEYMOUR,47274
JEFFERSON COUNTY PUBLIC LIBRARY,420 WEST MAIN STREET,MADISON,47250
JENNINGS COUNTY PUBLIC LIBRARY,2375 NORTH STATE HIGHWAY 3,NORTH VERNON,47265
OHIO COUNTY PUBLIC LIBRARY,503 SECOND STREET,RISING SUN,47040
MELTON PUBLIC LIBRARY,8496 WEST COLLEGE STREET,FRENCH LICK,47432
ORLEANS TOWN & TOWNSHIP PUBLIC LIBRARY,174 NORTH MAPLE STREET,ORLEANS,47452
PAOLI PUBLIC LIBRARY,100 WEST WATER STREET,PAOLI,47454
BATESVILLE MEMORIAL PUBLIC LIBRARY,131 NORTH WALNUT STREET,BATESVILLE,47006
OSGOOD PUBLIC LIBRARY,136 WEST RIPLEY STREET,OSGOOD,47037
"TYSON LIBRARY ASSOCIATION, INC",325 WEST TYSON STREET,VERSAILLES,47042
SCOTT COUNTY PUBLIC LIBRARY,108 SOUTH MAIN STREET,SCOTTSBURG,47170
SWITZERLAND COUNTY PUBLIC LIBRARY,205 FERRY STREET,VEVAY,47043
SALEM-WASHINGTON TOWNSHIP PUBLIC LIBRARY,212 NORTH MAIN STREET,SALEM,47167
LINCOLN HERITAGE PUBLIC LIBRARY,105 WALLACE STREET,DALE,47523
LOWELL PUBLIC LIBRARY,1505 EAST COMMERCIAL AVENUE,LOWELL,46356
JOYCE PUBLIC LIBRARY,9490 WEST STATE ROAD 120,ORLAND,46776
HUSSEY-MAYFIELD MEMORIAL PUBLIC LIBRARY,250 NORTH FIFTH STREET,ZIONSVILLE,46077
GREENSBURG-DECATUR COUNTY CONTRACTUAL PUBLIC LIBRARY,1110 EAST MAIN STREET,GREENSBURG,47240
NORTH WEBSTER COMMUNITY PUBLIC LIBRARY,301 NORTH MAIN STREET,NORTH WEBSTER,46555
ADAMS PUBLIC LIBRARY SYSTEM,128 SOUTH 3RD STREET,DECATUR,46733
YORKTOWN PUBLIC LIBRARY,8920 WEST ADALINE STREET,YORKTOWN,47396
RANDALL PUBLIC LIBRARY,107 MAIN ST.,RANDALL,66963
SUNSHINE CITY LIBRARY,207 KANSAS,PRAIRIE VIEW,67664
FORMOSO PUBLIC LIBRARY,108 MAIN,FORMOSO,66942
LONG ISLAND COMMUNITY LIBRARY,369 WASHINGTON,LONG ISLAND,67647
RAE HOBSON MEMORIAL LIBRARY,401 PAWNEE AVE.,REPUBLIC,66964
GAYLORD CITY LIBRARY,505 MAIN,GAYLORD,67638
MCCRACKEN PUBLIC LIBRARY,303 MAIN,MCCRACKEN,67556
KIRWIN CITY LIBRARY,1ST AND MAIN,KIRWIN,67644
BISON COMMUNITY LIBRARY,202 MAIN,BISON,67520
BURR OAK COMMUNITY LIBRARY,221 A MAIN STREET,BURR OAK,66936
PALCO PUBLIC LIBRARY,311 MAIN,PALCO,67657
SYLVAN GROVE PUBLIC LIBRARY,122 S MAIN,SYLVAN GROVE,67481
AGRA/F LEE DOCTOR LIBRARY,222 MAIN,AGRA,67621
LEBANON COMMUNITY,404 MAIN,LEBANON,66952
COURTLAND COMMUNITY LIBRARY,403 MAIN ST.,COURTLAND,66939
JAMESTOWN CITY LIBRARY,311 D WALNUT,JAMESTOWN,66948
GYPSUM COMMUNITY LIBRARY,521 MAPLE ST.,GYPSUM,67448
OTIS COMMUNITY LIBRARY,122 SOUTH MAIN,OTIS,67565
SCANDIA CITY LIBRARY,318 FOURTH STREET,SCANDIA,66966
LUCAS PUBLIC LIBRARY,209 S. MAIN ST.,LUCAS,67648
GLEN ELDER LIBRARY,105 S. MILL ST.,GLEN ELDER,67446
JEWELL PUBLIC LIBRARY,216 DELAWARE STREET,JEWELL,66949
DELPHOS PUBLIC LIBRARY,114 W. 2ND,DELPHOS,67436
KENSINGTON COMMUNITY/SCHOOL LIBRARY,203 SOUTH JACKSON,KENSINGTON,66951
GLASCO CITY LIBRARY,206 E. MAIN,GLASCO,67445
CAWKER CITY PUBLIC LIBRARY,802 LOCUST,CAWKER CITY,67430
KANOPOLIS PUBLIC LIBRARY,221 N. KANSAS,KANOPOLIS,67454
LOGAN PUBLIC LIBRARY,109 W. MAIN,LOGAN,67646
RANDOLPH-DECKER PUB. LIB.,107 S GREEN ST.,CLYDE .,66938
LANG MEMORIAL,2405 AVE. F,WILSON,67490
INDEPENDENT TOWNSHIP,108 MAIN,CLAFLIN,67525
MANKATO CITY LIBRARY,214 N HIGH STE 1,MANKATO,66956
DOWNS CARNEGIE LIBRARY,504 MORGAN AVE,DOWNS,67437
LINCOLN CARNEGIE LIBRARY,203 S THIRD,LINCOLN,67455
BARNARD LIBRARY,521 ELM,LA CROSSE,67548
STOCKTON,124 N. CEDAR,STOCKTON,67669
OSBORNE PUBLIC LIBRARY,325 W MAIN,OSBORNE,67473
MINNEAPOLIS PUBLIC,519 DELIA AVE.,MINNEAPOLIS,67467
SMITH CENTER PUBLIC LIBRARY,117 W. COURT,SMITH CENTER,66967
ELLIS PUBLIC LIBRARY,907 WASHINGTON,ELLIS,67637
PLAINVILLE MEMORIAL LIBRARY,200 SW 1ST,PLAINVILLE,67663
J.H. ROBBINS MEMORIAL LIBRARY,219 N. LINCOLN AVE.,ELLSWORTH,67439
ELLINWOOD SCHOOL COMMUNITY LIBRARY,210 N. SCHILLER,ELLINWOOD,67526
BELLEVILLE PUBLIC LIBRARY,1327 19TH STREET,BELLEVILLE,66935
PHILLIPSBURG CITY LIBRARY,888 FOURTH STREET,PHILLIPSBURG,67661
HOISINGTON PUBLIC LIBRARY,169 SOUTH WALNUT,HOISINGTON,67544
PORT LIBRARY,1718 N. HERSEY,BELOIT,67420
RUSSELL PUBLIC LIBRARY,126 EAST 6TH STREET,RUSSELL,67665
FRANK CARLSON LIBRARY,702 BROADWAY,CONCORDIA,66901
JORDAAN MEMORIAL LIBRARY,724 BROADWAY,LARNED,67550
GREAT BEND PUBLIC LIBRARY,1409 WILLIAMS,GREAT BEND,67530
HAYS PUBLIC LIBRARY,1205 MAIN ST.,HAYS,67601
SALINA PUBLIC LIBRARY,301 W. ELM STREET,SALINA,67401
BURNS PUBLIC LIBRARY,104 NORTH WASHINGTON AVE,BURNS,66840
DWIGHT PUBLIC LIBRARY,637 MAIN,DWIGHT,66849
ELM CREEK TOWNSHIP LIBRARY,213 NORTH 5TH ST.,WILSEY,66873
LEONARDVILLE CITY LIBRARY,117 N. ERPELDING RD,LEONARDVILLE,66449
AXTELL PUBLIC LIBRARY,401 MAPLE,AXTELL,66403
GOESSEL PUBLIC LIBRARY,101 S. CEDAR,GOESSEL,67053
HOPE COMMUNITY LIBRARY,216 N. MAIN,HOPE,67451
WHITE CITY PUBLIC LIBRARY,111 E MACKENZIE,WHITE CITY,66872
FLORENCE PUBLIC LIBRARY,324 MAIN ST.,FLORENCE,66851
CLIFTON PUBLIC LIBRARY,104 E. PARALLEL,CLIFTON,66937
WATERVILLE PUBLIC LIBRARY,129 E COMMERCIAL,WATERVILLE,66548
HANOVER PUBLIC,205 JACKSON STREET,HANOVER,66945
WAKEFIELD PUBLIC LIBRARY,205 THIRD STREET,WAKEFIELD,67487
ENTERPRISE PUBLIC LIBRARY,202 S. FACTORY,ENTERPRISE,67441
SOLOMON PUBLIC LIBRARY,108 N. WALNUT,SOLOMON,67480
FRANKFORT CITY LIBRARY,104 E. SECOND ST,FRANKFORT,66427
"LIBRARY DISTRICT #1, MIAMI COUNTY",206 S. BROADWAY ST.,LOUISBURG,66053
BURNLEY MEMORIAL/FALLS TOWNSHIP,405 N. OAK,COTTONWOOD FALLS,66845
CHAPMAN PUBLIC LIBRARY,402 N. MARSHALL,CHAPMAN,67431
BLUE RAPIDS PUBLIC LIBRARY,14 PUBLIC SQUARE,BLUE RAPIDS,66411
WASHINGTON PUBLIC LIBRARY,116 E. 2ND,WASHINGTON,66968
HARTFORD/ELMENDARO TOWNSHIP,224 COMMERCIAL ST.,HARTFORD,66854
AMERICUS TOWNSHIP LIBRARY,710 MAIN ST.,AMERICUS,66835
PEABODY TOWNSHIP LIBRARY,214 N. WALNUT,PEABODY,66866
MARION CITY LIBRARY,101 LIBRARY ST,MARION,66861
COUNCIL GROVE PUBLIC LIBRARY,829 W. MAIN ST.,COUNCIL GROVE,66846
HILLSBORO PUBLIC LIBRARY,120 E. GRAND AVE.,HILLSBORO,67063
HERINGTON PUBLIC LIBRARY,102 S. BROADWAY,HERINGTON,67449
WAMEGO PUBLIC LIBRARY,431 LINCOLN AVENUE,WAMEGO,66547
MARYSVILLE PUBLIC LIBRARY,1009 BROADWAY,MARYSVILLE,66508
CLAY CENTER CARNEGIE LIBRARY,706 6 ST,CLAY CENTER,67432
ABILENE PUBLIC LIBRARY,209 NW 4TH,ABILENE,67410
POTTAWATOMIE WABAUNSEE REGIONAL LIBRARY,306 N. 5TH STREET,ST. MARYS,66536
DOROTHY BRAMLAGE PUBLIC LIBRARY,230 WEST SEVENTH STREET,JUNCTION CITY,66441
EMPORIA PUBLIC LIBRARY,110 E. SIXTH AVENUE,EMPORIA,66801
MANHATTAN PUBLIC LIBRARY,629 POYNTZ AVENUE,MANHATTAN,66502
CORNING CITY LIBRARY,6221 5TH ST.,CORNING,66417
WETMORE PUBLIC LIBRARY,333 2ND ST.,WETMORE,66550
RICHMOND PUBLIC LIBRARY,107 E. CENTRAL,RICHMOND,66080
CENTRALIA COMMUNITY LIBRARY,520 4TH STREET,CENTRALIA,66415
WINCHESTER PUBLIC LIBRARY,203 FOURTH STREET,WINCHESTER,66097
BARNES READING ROOM,640 MAIN STREET,EVEREST,66424
EFFINGHAM COMMUNITY LIBRARY,414 MAIN STREET,EFFINGHAM,66023
MERIDEN-OZAWKIE PUBLIC LIBRARY,"7272 K-4 HWY, STE D",MERIDEN,66512
OVERBROOK PUBLIC LIBRARY,317 MAPLE,OVERBROOK,66524
NORTONVILLE PUBLIC LIBRARY,407 MAIN,NORTONVILLE,66060
BURLINGAME COMMUNITY LIBRARY,122 W. SANTA FE AVE,BURLINGAME,66413
WELLSVILLE CITY LIBRARY,115 W. 6TH ST.,WELLSVILLE,66092
CARBONDALE CITY LIBRARY,234 MAIN STREET,CARBONDALE,66414
LYNDON CARNEGIE LIBRARY,127 E 6TH ST,LYNDON,66451
ROSSVILLE COMMUNITY LIBRARY,407 MAIN,ROSSVILLE,66533
HORTON PUBLIC LIBRARY,809 1ST AVE. EAST,HORTON,66439
LINWOOD COMMUNITY LIBRARY DISTRICT #1,19649 LINWOOD RD,LINWOOD,66052
OSKALOOSA PUBLIC LIBRARY,315 JEFFERSON ST.,OSKALOOSA,66066
SILVER LAKE LIBRARY,203 RAILROAD,SILVER LAKE,66539
DELAWARE TOWNSHIP LIBRARY,421 MARY ST. #A,VALLEY FALLS,66088
TONGANOXIE PUBLIC LIBRARY,303 BURY ST.,TONGANOXIE,66086
MARY COTTON PUBLIC LIBRARY,915 VIRGINIA,SABETHA,66534
SENECA FREE LIBRARY,606 MAIN STREET,SENECA,66538
OSAGE CITY PUBLIC LIBRARY,515 MAIN ST.,OSAGE CITY,66523
BALDWIN CITY LIBRARY,800 7TH ST.,BALDWIN CITY,66006
"BASEHOR COMMUNITY LIBRARY, DIST #2, LV. CO.",1400 158TH STREET,BASEHOR,66007
HIAWATHA/MORRILL PUBLIC LIBRARY,431 OREGON,HIAWATHA,66434
EUDORA PUBLIC LIBRARY,14 E 9TH ST.,EUDORA,66025
PAOLA FREE LIBRARY,101 EAST PEORIA,PAOLA,66071
OSAWATOMIE PUBLIC LIBRARY,527 BROWN AVENUE,OSAWATOMIE,66064
LINN COUNTY LIBRARY DISTRICT #1,234 W. MAIN,PARKER,66072
BONNER SPRINGS CITY LIBRARY,201 N. NETTLETON AVE.,BONNER SPRINGS,66012
LYON COUNTY LIBRARY DIST. #1,421 MAIN,ALLEN,66833
OTTAWA LIBRARY,105 S HICKORY ST,OTTAWA,66067
ATCHISON LIBRARY,401 KANSAS AVENUE,ATCHISON,66002
LEAVENWORTH PUBLIC LIBRARY,417 SPRUCE STREET,LEAVENWORTH,66048
OLATHE PUBLIC LIBRARY,201 E PARK STREET,OLATHE,66061
LAWRENCE PUBLIC LIBRARY,707 VERMONT STREET,LAWRENCE,66044
TOPEKA AND SHAWNEE COUNTY PUBLIC LIBRARY,1515 SW 10TH AVE,TOPEKA,66604
"KANSAS CITY, KANSAS PUBLIC LIBRARY",625 MINNESOTA AVENUE,KANSAS CITY,66101
JOHNSON COUNTY LIBRARY,9875 W. 87TH STREET,OVERLAND PARK,66212
GOVE CITY LIBRARY,301 SHERMAN ST,GOVE,67736
JENNINGS CITY LIBRARY,KANSAS AVENUE,JENNINGS,67643
NORCATUR PUBLIC LIBRARY,301 E. OSSIPEE,NORCATUR,67653
GRINNELL/MOORE FAMILY LIBRARY,95 S. ADAMS,GRINNELL,67738
